time_s,hip_angle_deg,hip_velocity_degs,knee_angle_deg
0.000,22.60,-3.2,40.00
0.010,22.54,-9.3,36.47
0.020,22.41,-15.7,32.82
0.030,22.22,-27.8,29.03
0.040,21.86,-40.6,25.19
0.050,21.41,-51.3,21.31
0.060,20.83,-62.8,17.40
0.070,20.16,-70.6,13.73
0.080,19.42,-78.4,10.20
0.090,18.59,-81.4,6.92
0.100,17.79,-78.2,4.11
0.110,17.02,-77.1,1.61
0.120,16.25,-73.6,-0.25
0.130,15.55,-67.2,-1.62
0.140,14.91,-61.1,-2.59
0.150,14.33,-57.8,-2.85
0.160,13.75,-57.8,-2.81
0.170,13.17,-55.0,-2.36
0.180,12.65,-38.7,-1.46
0.190,12.40,3.5,-0.76
0.200,12.72,5.4,-0.63
0.210,12.51,-29.3,0.23
0.220,12.14,-34.7,1.34
0.230,11.81,-28.0,2.56
0.240,11.58,-21.3,3.87
0.250,11.39,-15.8,5.23
0.260,11.26,-7.8,6.70
0.270,11.23,1.9,8.21
0.280,11.30,9.5,9.76
0.290,11.42,11.4,11.23
0.300,11.53,8.3,12.61
0.310,11.59,-1.8,13.83
0.320,11.49,-15.3,14.77
0.330,11.28,-29.5,15.55
0.340,10.90,-48.1,16.07
0.350,10.32,-62.1,16.25
0.360,9.66,-71.8,16.25
0.370,8.89,-81.1,16.00
0.380,8.03,-87.5,15.62
0.390,7.14,-89.9,15.15
0.400,6.24,-88.3,14.51
0.410,5.37,-85.0,13.87
0.420,4.54,-74.3,13.23
0.430,3.89,-62.1,12.65
0.440,3.29,-55.2,12.07
0.450,2.78,-48.7,11.49
0.460,2.32,-43.6,11.02
0.470,1.91,-36.7,10.59
0.480,1.59,-29.8,10.20
0.490,1.31,-26.0,9.77
0.500,1.07,-21.9,9.33
0.510,0.87,-21.2,8.95
0.520,0.64,-24.4,8.56
0.530,0.39,-25.7,8.18
0.540,0.13,-27.3,7.79
0.550,-0.16,-30.5,7.41
0.560,-0.48,-38.2,7.02
0.570,-0.92,-43.3,6.64
0.580,-1.35,-40.5,6.28
0.590,-1.73,-41.2,5.96
0.600,-2.17,-43.5,5.63
0.610,-2.60,-40.9,5.37
0.620,-2.99,-38.5,5.24
0.630,-3.38,-38.0,5.15
0.640,-3.75,-34.8,5.14
0.650,-4.07,-30.2,5.40
0.660,-4.35,-26.8,5.77
0.670,-4.61,-22.3,6.23
0.680,-4.80,-19.3,6.94
0.690,-4.99,-19.3,7.80
0.700,-5.19,-22.2,8.83
0.710,-5.44,-24.3,10.09
0.720,-5.67,-21.3,11.47
0.730,-5.86,-16.7,13.01
0.740,-6.00,-12.6,14.82
0.750,-6.12,-8.8,16.76
0.760,-6.18,-4.2,18.94
0.770,-6.20,-0.0,21.35
0.780,-6.18,7.3,23.89
0.790,-6.05,14.7,26.66
0.800,-5.89,18.3,29.53
0.810,-5.69,32.5,32.49
0.820,-5.24,49.5,35.70
0.830,-4.70,59.1,38.94
0.840,-4.06,78.9,42.22
0.850,-3.12,100.7,45.49
0.860,-2.04,118.1,48.70
0.870,-0.76,136.1,51.78
0.880,0.68,148.9,54.61
0.890,2.22,163.7,57.28
0.900,3.96,175.6,59.65
0.910,5.73,179.2,61.72
0.920,7.54,183.4,63.57
0.930,9.40,182.6,64.85
0.940,11.19,176.0,65.80
0.950,12.92,163.6,66.50
0.960,14.46,148.3,66.57
0.970,15.89,135.4,66.34
0.980,17.17,116.9,65.76
0.990,18.22,99.6,64.66
1.000,19.16,85.5,63.33
1.010,19.93,67.0,61.66
1.020,20.50,53.4,59.63
1.030,21.00,47.4,57.44
1.040,21.45,40.6,55.00
1.050,21.82,33.5,52.35
1.060,22.12,25.0,49.56
1.070,22.31,17.5,46.54
1.080,22.47,14.3,43.34
1.090,22.60,6.4,40.00
